bootstrap_id,mae,rmse,r2,mape_pct
55,3.5033191862603617,4.95139959287589,0.17267311521627604,13.99943009834644
56,2.9194941360382534,4.071901526632841,0.3027167621784177,11.748615972177303
57,3.4864618983957203,4.607408888975966,0.33070180087908774,13.892747142183982
58,3.8483343200916704,5.503076765117876,0.10584044011815663,13.602087272355748
59,3.5496656127097275,4.696251721324609,0.062120146191462666,13.224015219777174
60,2.942798124805477,4.026719819243873,0.1504745189851674,12.212888501064954
61,2.1081230264833186,2.7746687526212006,0.23698581876637526,8.934395941999107
62,3.0897867505588086,4.347277197043381,0.27059846433323453,12.303469701643218
63,3.402763086042495,4.099694081702962,0.26948677491957207,13.282933942887121
64,4.001238095238095,5.58507328990342,0.08694810565029099,14.223470846050986
65,2.851801753529693,3.708742155990153,-0.034112398987966586,12.404316307286027
66,3.6568371459695004,4.5233844413397115,0.09738890037770576,15.484728708910044
67,2.7483454361542576,3.5734340687672392,0.13640307221299341,11.965822348167485
68,3.2475245345612973,4.549440788329694,0.19939074189678097,12.563879009380358
69,2.912732878504936,3.759535003395494,0.38908118980482753,11.998055710488718
70,2.1814432242593984,2.727204581634963,0.38991574373200266,9.548712922129088
71,3.2220804791613604,4.538418136160044,0.26331460999065204,12.118989582554311
72,3.4435406657612533,4.354993034074315,-0.2960897825622013,14.388732382021368
73,3.9226552146110993,5.133672130795211,0.04829734112963946,15.99260944613048
74,3.178037839883426,4.552259872714322,0.15410067582181775,13.690161132519933
75,3.150636342415751,4.2470823657130525,0.15785172996565822,12.805638254750566
76,2.622403177432587,3.975107545833545,0.18934403403497702,10.62368937859079
77,3.301850670571257,4.310545436886253,0.3356815924980424,13.449496995172927
78,4.868441183544125,6.220333516674823,-0.0574133974425628,17.73077125973072
79,3.7810237812296634,4.8666525514967,0.1638450110591353,15.467675689810246
80,3.63659094445859,4.7490583374581234,-0.05897277364025477,13.9515045089863
81,2.9763000523441683,3.8903351711972034,-0.17067394796638302,13.556203196944692
82,3.2081428465325503,4.26346323593764,0.2211731174423358,12.57314063272284
83,3.9981740585122933,5.218653458636301,0.13052275475530561,14.981877006028324
84,3.234060277141158,4.32864949640597,0.2918028225953109,13.473601104332309
85,3.4938968112497513,4.94098464996921,0.01491121212665536,12.64977066665348
86,3.40142677828707,4.384974929118844,0.32375265663315167,14.48292108863433
87,2.6926652413490637,3.8753166547311455,0.3155568884033626,11.0249976442592
